0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
26,Broadcast Interview,0,-1,required,recommended,optional,required,required,required,recommended,recommended,required,recommended,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
67,broadcast,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required if applicable,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
97,court decision,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
108,thesaurus,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
113,KOS-Folksonomy,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
121,Model Code,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
136,Algorithms,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
140,article-review article,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
141,bibliography,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,nix,nix,nix,not applicable,not applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
153,Brief,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
171,call for applications,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
176,document-laboratory notebook,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
195,Funds Request,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
198,Grant,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
199,grant application,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
201,Guidebook,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,optional,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
212,internal document-case for support,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
226,Lecture,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
240,news item-announcement,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
241,news item-in brief,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
260,Paper-Discussion paper,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
267,Paper-White Paper,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
289,Project Note,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
296,Report-Baseline Report,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
297,Report-Conference report/summary,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
303,report-news report,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
305,Report-Policy Report,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
307,Report-Progress Report,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
311,Report-Research Workshop Report,####,####,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
315,database-document repository,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
316,Research proposal,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
328,Specification,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
331,Technical Standard,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
332,Standard-reporting standard,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
339,Technical Guide,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
355,Manual-User Manual,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
363,website - training Portal,0,-1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
20,Dataset-research,0,-1,required,recommended,optional,required,required,required,required,required if applicable,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
28,database-repository,0,-1,required,recommended,optional,required,required,required,required,required if applicable,required,recommended,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,nix,nix,optional,optional,
166,Conference Program,0,-1,required,recommended,optional,required,required,optional,required,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required,required,recommended,required,required,optional,required,recommended,recommended,recommended,recommended,recommended,recommended,recommended,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,optional,optional,recommended,optional,required if applicable,required if applicable,required if applicable,required if applicable,
7,database-discipline dictionary,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
8,database-online,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
10,Database-relational database,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
11,database-triplestore,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
16,dataset-metadata,0,-1,required,recommended,optional,required,required,nix,nix,nix,nix,nix,nix,optional,optional,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,nix,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,nix,nix,optional,optional,
